ID,Percent
ACH39,77.69999694824219
ACH25,72.80000305175781
ACH04,66.69999694824219
ACH40,61.900001525878906
ACH26,60.400001525878906
ACH34,59.400001525878906
ACH18,58.900001525878906
ACH35,56.70000076293945
ACH05,53.900001525878906
ACH31,51.5
ACH29,50.099998474121094
ACH06,49.599998474121094
ACH28,48.79999923706055
ACH13,45.099998474121094
ACH21,44.400001525878906
ACH33,43.79999923706055
ACH38,43.70000076293945
ACH41,43.5
ACH07,43.099998474121094
ACH37,42.400001525878906
ACH27,42.400001525878906
ACH20,42.400001525878906
ACH10,40.599998474121094
ACH24,40.0
ACH09,39.900001525878906
ACH22,39.79999923706055
ACH36,39.599998474121094
ACH11,39.5
ACH32,39.0
ACH23,38.0
ACH08,35.400001525878906
ACH30,34.0
ACH12,28.799999237060547
ACH19,28.700000762939453
ACH02,27.399999618530273
ACH01,22.100000381469727
ACH14,17.100000381469727
ACH15,17.0
ACH17,16.799999237060547
ACH16,16.399999618530273
ACH03,15.300000190734863
ACH00,9.399999618530273
